model,date,lower_coverage,interval_coverage,average_band_width_kwh,calibration_days
Q4-3,2025-05-26,1.0,0.8819444444444444,260.2144806846429,28
Q4-3,2025-05-27,1.0,0.8958333333333334,265.5012978981088,28
Q4-3,2025-05-28,1.0,0.9861111111111112,266.4044768698402,28
Q4-3,2025-05-29,1.0,0.9722222222222222,262.5977681981527,28
Q4-3,2025-05-30,0.9166666666666666,0.9166666666666666,257.7061181366135,28
Q4-3,2025-05-31,0.75,0.7430555555555556,256.1585431892277,28
Q4-3,2025-06-01,1.0,0.6458333333333334,261.20800570597146,28
Q4-3,2025-06-02,0.9861111111111112,0.6527777777777778,266.31266534198727,28
Q4-3,2025-06-03,1.0,0.75,280.25858376272595,28
Q4-3,2025-06-04,0.9444444444444444,0.7430555555555556,282.3931030923258,28
Q4-3,2025-06-05,1.0,0.8263888888888888,286.4125303060852,28
Q4-3,2025-06-06,0.9513888888888888,0.9513888888888888,289.5866411196869,28
Q4-3,2025-06-07,0.8263888888888888,0.8263888888888888,283.8878320747113,28
Q4-3,2025-06-08,0.9722222222222222,0.9097222222222222,289.4691844706583,28
Q4-3,2025-06-09,1.0,0.9444444444444444,291.72104808876077,28
Q4-3,2025-06-10,1.0,0.9722222222222222,291.3687169733846,28
Q4-3,2025-06-11,0.9930555555555556,0.9444444444444444,289.84325214110123,28
Q4-3,2025-06-12,1.0,0.9513888888888888,291.41365879823894,28
Q4-3,2025-06-13,0.9236111111111112,0.9236111111111112,292.28005727208506,28
Q4-3,2025-06-14,0.8472222222222222,0.8472222222222222,292.5173697656254,28
Q4-3,2025-06-15,1.0,0.9513888888888888,298.5486646568648,28
Q4-3,2025-06-16,1.0,0.9930555555555556,300.7249000238292,28
Q4-3,2025-06-17,1.0,0.9722222222222222,297.4811415865024,28
Q4-3,2025-06-18,1.0,0.9861111111111112,295.73322372744286,28
Q4-3,2025-06-19,1.0,0.9444444444444444,294.71520793146817,28
Q4-3,2025-06-20,0.7986111111111112,0.7986111111111112,295.1384131372504,28
Q4-3,2025-06-21,0.8055555555555556,0.8055555555555556,297.9353430727423,28
Q4-3,2025-06-22,1.0,0.9722222222222222,303.79287533750227,28
Q4-3,2025-06-23,1.0,1.0,304.23681238130473,28
Q4-3,2025-06-24,1.0,0.9791666666666666,304.27031374105286,28
Q4-3,2025-06-25,1.0,0.9722222222222222,306.7792672228066,28
Q4-3,2025-06-26,1.0,0.9583333333333334,306.9059925439259,28
Q4-3,2025-06-27,0.7430555555555556,0.7430555555555556,307.70567098849267,28
Q4-3,2025-06-28,0.9097222222222222,0.9097222222222222,313.06672173676566,28
Q4-3,2025-06-29,1.0,0.8958333333333334,309.3780084386092,28
Q4-3,2025-06-30,1.0,0.9861111111111112,309.54288955371726,28
Q4-3,2025-07-01,1.0,0.5208333333333334,303.24030985037723,28
Q4-3,2025-07-02,1.0,0.625,311.7537746184497,28
Q4-3,2025-07-03,1.0,0.7569444444444444,329.84232062783093,28
Q4-3,2025-07-04,0.9930555555555556,0.9583333333333334,335.0022883691838,28
Q4-3,2025-07-05,1.0,0.9861111111111112,331.9509910631062,28
Q4-3,2025-07-06,1.0,0.6597222222222222,332.3430293134745,28
Q4-3,2025-07-07,1.0,0.9375,343.6721462538548,28
Q4-3,2025-07-08,1.0,0.9861111111111112,344.47282241135014,28
Q4-3,2025-07-09,1.0,0.9930555555555556,343.99477140257153,28
Q4-3,2025-07-10,1.0,0.9652777777777778,342.7577402939469,28
Q4-3,2025-07-11,0.8472222222222222,0.8472222222222222,343.1380865649847,28
Q4-3,2025-07-12,0.9652777777777778,0.9652777777777778,348.7914285825124,28
Q4-3,2025-07-13,1.0,1.0,347.74049297235865,28
Q4-3,2025-07-14,1.0,1.0,343.138133986912,28
Q4-3,2025-07-15,1.0,0.9791666666666666,341.9711087801057,28
Q4-3,2025-07-16,1.0,0.9513888888888888,341.8053332552337,28
Q4-3,2025-07-17,1.0,0.9722222222222222,343.32455120905917,28
Q4-3,2025-07-18,0.7222222222222222,0.7222222222222222,344.9477141637195,28
Q4-3,2025-07-19,0.7361111111111112,0.7361111111111112,363.729018898878,28
Q4-3,2025-07-20,1.0,1.0,378.25327603177215,28
Q4-3,2025-07-21,1.0,0.9930555555555556,378.24063199270523,28
Q4-3,2025-07-22,1.0,0.9791666666666666,380.5823580100063,28
Q4-3,2025-07-23,1.0,1.0,381.28312449550594,28
Q4-3,2025-07-24,0.9930555555555556,0.9930555555555556,381.16440545391475,28
Q4-3,2025-07-25,0.9444444444444444,0.9444444444444444,380.5268170045926,28
Q4-3,2025-07-26,0.9444444444444444,0.9444444444444444,378.7379483867654,28
Q4-3,2025-07-27,1.0,0.9861111111111112,383.4903419857927,28
Q4-3,2025-07-28,1.0,0.9722222222222222,385.23775747773584,28
Q4-3,2025-07-29,1.0,0.9930555555555556,386.02724432568243,28
Q4-3,2025-07-30,1.0,0.9583333333333334,376.15426020337486,28
Q4-3,2025-07-31,1.0,0.9930555555555556,370.4566242050426,28
Q4-3,2025-08-01,0.8263888888888888,0.8263888888888888,366.7577031422888,28
Q4-3,2025-08-02,0.6458333333333334,0.6458333333333334,371.73083503815917,28
Q4-3,2025-08-03,0.9861111111111112,0.9791666666666666,396.5077575191742,28
Q4-3,2025-08-04,1.0,1.0,385.34631821206824,28
Q4-3,2025-08-05,0.9930555555555556,0.9722222222222222,383.8609756100163,28
Q4-3,2025-08-06,0.9652777777777778,0.9444444444444444,383.9904337302181,28
Q4-3,2025-08-07,0.8958333333333334,0.8888888888888888,385.51534174475523,28
Q4-3,2025-08-08,0.8263888888888888,0.8263888888888888,395.0535823004774,28
Q4-3,2025-08-09,0.8402777777777778,0.8402777777777778,395.9368619429788,28
Q4-3,2025-08-10,1.0,0.9930555555555556,406.00635008326327,28
Q4-3,2025-08-11,1.0,1.0,404.2198629319723,28
Q4-3,2025-08-12,0.9930555555555556,0.9930555555555556,403.8891100755329,28
Q4-3,2025-08-13,0.9930555555555556,0.9930555555555556,402.76225060654167,28
Q4-3,2025-08-14,0.9513888888888888,0.9375,404.67841886434496,28
Q4-3,2025-08-15,0.75,0.75,406.5565840201803,28
Q4-3,2025-08-16,0.8055555555555556,0.8055555555555556,413.4369785470586,28
Q4-3,2025-08-17,0.9861111111111112,0.9861111111111112,390.7379498779707,28
Q4-3,2025-08-18,0.9791666666666666,0.9791666666666666,390.8465662443373,28
Q4-3,2025-08-19,0.9930555555555556,0.9930555555555556,390.976232204818,28
Q4-3,2025-08-20,0.9791666666666666,0.9791666666666666,391.25968036428964,28
Q4-3,2025-08-21,1.0,1.0,390.3529914479641,28
Q4-3,2025-08-22,0.9027777777777778,0.9027777777777778,390.2417187981325,28
Q4-3,2025-08-23,0.9097222222222222,0.9097222222222222,390.50548319248406,28
Q4-3,2025-08-24,0.9930555555555556,0.9930555555555556,387.8519507171593,28
Q4-3,2025-08-25,0.8680555555555556,0.8680555555555556,387.1760790973392,28
Q4-3,2025-08-26,0.9513888888888888,0.9513888888888888,403.2329225420771,28
Q4-3,2025-08-27,0.9861111111111112,0.9861111111111112,394.5968107886026,28
Q4-3,2025-08-28,0.9583333333333334,0.9513888888888888,387.8460466534348,28
Q4-3,2025-08-29,0.8125,0.8125,382.05437468305047,28
Q4-3,2025-08-30,0.8680555555555556,0.8680555555555556,377.386352694283,28
Q4-3,2025-08-31,0.9861111111111112,0.9375,348.020110130265,28
Q4-3,2025-09-01,0.5208333333333334,0.5208333333333334,342.8694641190334,28
Q4-3,2025-09-02,0.6319444444444444,0.6319444444444444,356.73829172678984,28
Q4-3,2025-09-03,0.8958333333333334,0.8958333333333334,376.09603356440516,28
Q4-3,2025-09-04,0.9097222222222222,0.9097222222222222,376.1073245956841,28
Q4-3,2025-09-05,0.5069444444444444,0.5069444444444444,371.0069941321666,28
Q4-3,2025-09-06,0.5694444444444444,0.5694444444444444,382.81199092614,28
Q4-3,2025-09-07,0.9861111111111112,0.9791666666666666,396.68170263082055,28
Q4-3,2025-09-08,1.0,1.0,393.9883199452222,28
Q4-3,2025-09-09,1.0,1.0,392.3502974205126,28
Q4-3,2025-09-10,0.9861111111111112,0.9861111111111112,390.9616405987256,28
Q4-3,2025-09-11,0.9652777777777778,0.9444444444444444,386.59023380412015,28
Q4-3,2025-09-12,0.5902777777777778,0.5902777777777778,385.1906148745664,28
Q4-3,2025-09-13,0.6666666666666666,0.6666666666666666,392.2071445298975,28
Q4-3,2025-09-14,0.9722222222222222,0.9722222222222222,399.74423288850323,28
Q4-3,2025-09-15,1.0,0.9791666666666666,399.1358425970427,28
Q4-3,2025-09-16,1.0,1.0,397.0517425981438,28
Q4-3,2025-09-17,1.0,1.0,394.58435634320176,28
Q4-3,2025-09-18,1.0,0.9652777777777778,392.48625114923374,28
Q4-3,2025-09-19,0.6875,0.6875,392.61018978042785,28
Q4-3,2025-09-20,0.7569444444444444,0.7569444444444444,401.18311676091497,28
Q4-3,2025-09-21,1.0,1.0,406.17025115999564,28
Q4-3,2025-09-22,0.9930555555555556,0.9930555555555556,401.5721692075445,28
Q4-3,2025-09-23,1.0,1.0,397.29489495086597,28
Q4-3,2025-09-24,1.0,0.875,393.85030507908414,28
Q4-3,2025-09-25,1.0,1.0,392.7083736002221,28
Q4-3,2025-09-26,0.6666666666666666,0.6666666666666666,389.0624545958956,28
Q4-3,2025-09-27,0.9652777777777778,0.9652777777777778,397.72948691541535,28
Q4-3,2025-09-28,1.0,1.0,393.47637789807106,28
Q4-3,2025-09-29,1.0,1.0,389.9887426327535,28
Q4-3,2025-09-30,1.0,0.8958333333333334,380.23134269214876,28
Q4-3,2025-10-01,1.0,1.0,381.5118821245326,28
Q4-3,2025-10-02,0.9791666666666666,0.9791666666666666,377.50211387017976,28
